path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_10_x47530832_w11_s483.csv, eval_metric=0.4331261809713524, minimum_width=10.0, minimum_spacing=10.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w41_s990.csv, eval_metric=0.8184040855096124, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w49_s770.csv, eval_metric=0.8542966024261479, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w57_s968.csv, eval_metric=0.8769695872107133, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w65_s909.csv, eval_metric=0.9095122735720123, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w73_s975.csv, eval_metric=0.8973966788036335, minimum_width=7.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_6_x47530832_w9_s893.csv, eval_metric=0.840979153289656, minimum_width=6.0, minimum_spacing=6.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w10_s898.csv, eval_metric=0.7354227531474621, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w18_s655.csv, eval_metric=0.7300074398143754, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w26_s710.csv, eval_metric=0.8075685797861113, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w2_s430.csv, eval_metric=0.8130489770450411, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w34_s965.csv, eval_metric=0.7626915446889265, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w42_s878.csv, eval_metric=0.6931660340762422, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w50_s956.csv, eval_metric=0.8535863456307824, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w58_s969.csv, eval_metric=0.6827343684190188, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w66_s878.csv, eval_metric=0.7213838935619731, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230115_ianwilliamson_converter_generator_circle_8_x47530832_w74_s989.csv, eval_metric=0.7688539439912079, minimum_width=8.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_100nm.csv, eval_metric=-4.012782612549804, minimum_width=7.0, minimum_spacing=11.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_125nm.csv, eval_metric=-3.042381972740018, minimum_width=12.0, minimum_spacing=12.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_150nm.csv, eval_metric=-2.5007040810093155, minimum_width=20.0, minimum_spacing=15.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_175nm.csv, eval_metric=-3.367626582760282, minimum_width=21.0, minimum_spacing=15.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_200nm.csv, eval_metric=-0.6312059129357612, minimum_width=30.0, minimum_spacing=50.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_225nm.csv, eval_metric=-4.504165721857225, minimum_width=36.0, minimum_spacing=105.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_50nm.csv, eval_metric=0.8476703138055264, minimum_width=5.0, minimum_spacing=5.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_60nm.csv, eval_metric=0.8026871127985401, minimum_width=8.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_70nm.csv, eval_metric=0.46178398063750414, minimum_width=8.0, minimum_spacing=7.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_80nm.csv, eval_metric=0.3160292618506372, minimum_width=9.0, minimum_spacing=9.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/230214_oskooi_converter_meep_min_linewidth_90nm.csv, eval_metric=-0.2189795877080292, minimum_width=9.0, minimum_spacing=8.0, binarization_degree=1.0
path=challenges/ceviche_mode_converter/solutions/240630_rahulkpadhy_mode_converter_Aadi_Rahul.csv, eval_metric=-0.6216409903779887, minimum_width=8.0, minimum_spacing=5.0, binarization_degree=1.0
